titre,annee,realisateur,note_presse,note_spectateurs,url
La Fille du puisatier de Marcel Pagnol,1940,Marcel Pagnol,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=11725.html
Memories of Murder de Bong Joon Ho,2003,Bong Joon Ho,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=55483.html
Raging Bull de Martin Scorsese,1980,Martin Scorsese,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=950.html
Le Discours d'un roi de Tom Hooper,2010,Tom Hooper,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=175305.html
Casablanca de Michael Curtiz,1942,Michael Curtiz,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2645.html
Aladdin de John Musker et Ron Clements,1992,John Musker,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=8640.html
Printemps tardif de Yasujirô Ozu,1949,Yasujirô Ozu,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=6260.html
Fanny et Alexandre - Partie 1 de Ingmar Bergman,1982,Ingmar Bergman,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=947.html
Les Incorruptibles de Brian De Palma,1987,Brian De Palma,3.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2770.html
Mirage de la vie de Douglas Sirk,1959,Douglas Sirk,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14287.html
L'Inconnu de Tod Browning,1927,Tod Browning,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=26867.html
Top Gun: Maverick de Joseph Kosinski,2022,Joseph Kosinski,3.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=186636.html
E.T. l'extra-terrestre de Steven Spielberg,1982,Steven Spielberg,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=29718.html
Amadeus de Milos Forman,1984,Milos Forman,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=67.html
